Disease,Symptoms
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر انخفاض اخراج البول
الالتهاب الرئوي,الم في الصدر السعال ارتفاع درجة الحرارة ضيق التنفس التعرق ارتفاع معدل ضربات القلب صدئ البلغم
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ ارتفاع معدل ضربات القلب
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
نزلات البرد, الشعور بالتعب صداع الم في الصدر سيلان الأنف احتقان فقدان حاسة الشم صدئ البلغم احمرار العين 
الالتهاب الرئوي,ضيق التنفس الخمول السعال ارتفاع درجة الحرارة التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول القئ
الالتهاب الرئوي,الخمول السعال ارتفاع درجة الحرارة ضيق التنفس ارتفاع معدل ضربات القلب الم في الصدر
نزلات البرد,الم عضلي سيلان الأنف احتقان الم في الصدر الشعور بالتعب السعال حمى شديدة صداع فقدان حاسة الشم صدئ البلغم 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ارتفاع معدل ضربات القلب
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين اصفرار الجلد 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول الم فى الصدر
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب اصفرار العينين الم في البطن اصفرار الجلد 
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال قشعريره ارتفاع درجة الحرارة التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر 
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان التجشؤ
نزلات البرد,فقدان حاسة الشم الم في الصدر صداع الشعور بالتعب صدئ البلغم سيلان الأنف احتقان ضغط الجيوب الأنفية
الالتهاب الرئوي,الشعور بالتعب ارتفاع معدل ضربات القلب الم في الصدر السعال ضيق التنفس التعرق صدئ البلغم
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار الجلد
نزلات البرد,قشعريرة الم عضلي الشعور بالتعب صداع سيلان الأنف احتقان فقدان حاسة الشم الم في الصدر صدئ البلغم
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم القئ التجشؤ
نزلات البرد,الم في الصدر صداع سيلان الأنف احتقان الشعور بالتعب ضغط الجيوب الأنفية فقدان حاسة الشم الم عضلي صدئ البلغم
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال ارتفاع درجة الحرارة قشعريره صدئ البلغم الم في الصدر الخمول
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب الم في البطن اصفرار الجلد 
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الانتفاخ التجشؤ
الالتهاب الرئوي,الم في الصدر الشعور بالتعب السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
فيرس سي, الم في العضلات الم في المفاصل فقدان الشهية اصفرار العينين الم في البطن 
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول ضيق التنفس القئ انخفاض اخراج البول
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الغثيان القئ التجشؤ
الالتهاب الرئوي,السعال ارتفاع درجة الحرارة ضيق التنفس التعرق صدئ البلغم ارتفاع ضغط الدم ارتفاع معدل ضربات القلب الم في الصدر
نزلات البرد, سيلان الأنف تهيج الحلق احتقان الشعور بالتعب فقدان حاسة الشم صداع قشعريرة الم في الصدر صدئ البلغم فقدان حاسة الشم 
الالتهاب الرئوي,الشعور بالتعب السعال الم في الصدر ارتفاع ضغط الدم ضيق التنفس ارتفاع معدل ضربات القلب قشعريره
فيرس سي, الم في العضلات اصفرار العينين الم في البطن اصفرار الجلد الشعور بالغثيان 
الالتهاب الرئوي,الشعور بالتعب ارتفاع ضغط الدم ارتفاع معدل ضربات القلب الم في الصدر السعال ضيق التنفس التعرق صدئ البلغم
نزلات البرد,احتقان حمى شديدة صداع الشعور بالتعب الم في الصدر تهيج الحلق احمرار العين صدئ البلغم فقدان حاسة الشم تضخم الغدد الليمفاوية 
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ انخفاض اخراج البول
الالتهاب الرئوي,ارتفاع درجة الحرارة صدئ البلغم ارتفاع معدل ضربات القلب ضيق التنفس السعال الخمول
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ
نزلات البرد, حمى شديدة صداع قشعريرة سيلان الأنف احتقان الشعور بالتعب الم في الصدر فقدان حاسة الشم السعال صدئ البلغم
فيرس سي, الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور القيء الدموي فقر الدم القئ التجشؤ
نزلات البرد,صدئ البلغم سيلان الأنف احتقان الم في الصدر الشعور بالتعب فقدان حاسة الشم صداع احمرار العين حمى شديدة 
فيرس سي, الشعور بالغثيان القيء صداع مزمن الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
فيرس سي, الم في العضلات فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال ارتفاع درجة الحرارة ارتفاع ضغط الدم صدئ البلغم الم في الصدر الخمول
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم الغثيان الانتفاخ التجشؤ
الالتهاب الرئوي,الشعور بالتعب السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر قشعريره
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم الغثيان القئ الانتفاخ
نزلات البرد,ضغط الجيوب الأنفية فقدان حاسة الشم سيلان الأنف احتقان الم في الصدر صداع صدئ البلغم الشعور بالتعب الم عضلي
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم
نزلات البرد,تضخم الغدد الليمفاوية حمى شديدة قشعريرة الم في الصدر صداع احتقان فقدان حاسة الشم صدئ البلغم احمرار العين الشعور بالتعب 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الغثيان القئ الانتفاخ التجشؤ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل الشعور بالتعب 
الالتهاب الرئوي,الم في الصدر السعال ارتفاع درجة الحرارة ضيق التنفس التعرق ارتفاع ضغط الدم ارتفاع معدل ضربات القلب قشعريره
الفشل الكلوي,ارتفاع معدل ضربات القلب القئ انخفاض اخراج البول ضيق التنفس الغثيان الم في الصدر الخمول
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال ارتفاع درجة الحرارة التعرق ارتفاع ضغط الدم صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ
الالتهاب الرئوي,الشعور بالتعب السعال ارتفاع درجة الحرارة ارتفاع ضغط الدم ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر الخمول
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب فقدان الشهية 
نزلات البرد,السعال صدئ البلغم الشعور بالتعب صداع فقدان حاسة الشم احتقان تضخم الغدد الليمفاوية الم في الصدر 
الالتهاب الرئوي,ارتفاع درجة الحرارة ارتفاع ضغط الدم صدئ البلغم ارتفاع معدل ضربات القلب ضيق التنفس السعال الخمول الم في الصدر
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ التجشؤ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل اصفرار العينين
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب ارتفاع ضغط الدم السعال صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
الفشل الكلوي,الغثيان ضيق التنفس الم في الصدر انخفاض اخراج البول القئ ارتفاع معدل ضربات القلب الغثيان احتباس السوائل
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ التجشؤ
الالتهاب الرئوي,ضيق التنفس الخمول السعال ارتفاع درجة الحرارة ارتفاع ضغط الدم التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات فقدان الشهية اصفرار العينين
الالتهاب الرئوي,ضيق التنفس الخمول السعال صدئ البلغم ارتفاع ضغط الدم ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
فيرس سي, اصفرار الجلد القيء الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الالتهاب الرئوي,ضيق التنفس الخمول السعال صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ ارتفاع معدل ضربات القلب تورم القدمين الخمول 
الالتهاب الرئوي,الم في الصدر الخمول السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
الالتهاب الرئوي,ارتفاع درجة الحرارة صدئ البلغم ارتفاع معدل ضربات القلب ضيق التنفس السعال الخمول الم في الصدر
فيرس سي, اصفرار الجلد الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس ارتفاع معدل ضربات القلب
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال قشعريره ارتفاع درجة الحرارة التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر ارتفاع ضغط الدم
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ انخفاض اخراج البول
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم القئ
الالتهاب الرئوي,ارتفاع ضغط الدم الم في الصدر السعال ارتفاع درجة الحرارة ضيق التنفس التعرق ارتفاع معدل ضربات القلب صدئ البلغم
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد الشعور بالغثيان القيء 
الالتهاب الرئوي,قشعريره الم في الصدر الخمول السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
فيرس سي, الشعور بالغثيان القيء الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية 
نزلات البرد,قشعريرة سيلان الأنف احتقان الم في الصدر الشعور بالتعب السعال حمى شديدة صداع صدئ البلغم فقدان حاسة الشم
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان
الالتهاب الرئوي,ضيق التنفس الخمول السعال صدئ البلغم قشعريره ارتفاع معدل ضربات القلب الم في الصدر
فيرس سي, اصفرار الجلد الشعور بالغثيان فقدان الشهية اصفرار العينين الم في البطن 
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد الشعور بالغثيان 
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم التجشؤ
الالتهاب الرئوي,الم في الصدر الشعور بالتعب السعال ضيق التنفس قشعريره صدئ البلغم ارتفاع معدل ضربات القلب
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال صدئ البلغم الم في الصدر الخمول قشعريره
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر انخفاض اخراج البول
الالتهاب الرئوي,الخمول الم في الصدر السعال الشعور بالتعب ضيق التنفس التعرق ارتفاع معدل ضربات القلب قشعريره
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ ارتفاع معدل ضربات القلب
فيرس سي, الشعور بالغثيان الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر ارتفاع معدل ضربات القلب
نزلات البرد, تهيج الحلق سيلان الأنف احتقان الم في الصدر الشعور بالتعب صداع فقدان حاسة الشم صدئ البلغم تضخم الغدد الليمفاوية
فيرس سي, الشعور بالغثيان القيء الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الالتهاب الرئوي, ارتفاع معدل ضربات القلب قشعريره الم في الصدر الخمول السعال ضيق التنفس صدئ البلغم
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء اصفرار العينين
الالتهاب الرئوي,السعال ارتفاع درجة الحرارة ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
نزلات البرد,تضخم الغدد الليمفاوية الشعور بالتعب السعال حمى شديدة صداع حتقان الم في الصدر صدئ البلغم احمرار العين فقدان حاسة الشم
فيرس سي, الشعور بالغثيان القيء الم في المفاصل الشعور بالتعب فقدان الشهية
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
فيرس سي, القيء الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ التجشؤ
نزلات البرد,احتقان فقدان حاسة الشم صداع الم في الصدر السعال ضغط الجيوب الأنفية الشعور بالتعب صدئ البلغم
الالتهاب الرئوي,ضيق التنفس الخمول السعال ارتفاع درجة الحرارة صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
نزلات البرد,صداع احتقان فقدان حاسة الشم صدئ البلغم السعال الم في الصدر الشعور بالتعب فقدان حاسة الشم
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس القئ انخفاض اخراج البول
نزلات البرد,صدئ البلغم تهيج الحلق احمرار العين سيلان الأنف احتقان الم في الصدر فقدان حاسة الشم الم عضلي الشعور بالتعب صداع 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ
الالتهاب الرئوي,الخمول ضيق التنفس الشعور بالتعب السعال ارتفاع درجة الحرارة التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر قشعريره
نزلات البرد,الم عضلي قشعريرة الشعور بالتعب الم في الصدر صدئ البلغم صداع الشعور بالتعب فقدان حاسة الشم حمى شديدة احتقان 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس القئ ارتفاع معدل ضربات القلب
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس الم فى الصدر 
نزلات البرد,ضغط الجيوب الأنفية السعال حمى شديدة احتقان الم في الصدر فقدان حاسة الشم صداع صدئ البلغم الشعور بالتعب 
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ ارتفاع معدل ضربات القلب تورم القدمين احتباس السوائل 
الالتهاب الرئوي, ارتفاع معدل ضربات القلب ارتفاع ضغط الدم الم في الصدر قشعريره ارتفاع ضغط الدم السعال ضيق التنفس صدئ البلغم
نزلات البرد,قشعريرة حمى شديدة صداع الشعور بالتعب صدئ البلغم فقدان حاسة الشم احمرار العين احتقان الم في الصدر الم عضلي
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر انخفاض اخراج البول
نزلات البرد,حمى شديدة صداع فقدان حاسة الشم صدئ البلغم سيلان الأنف احتقان الشعور بالتعب احتقان الم في الصدر 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس انخفاض اخراج البول
الالتهاب الرئوي,السعال ارتفاع درجة الحرارة ضيق التنفس ارتفاع ضغط الدم التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس ارتفاع معدل ضربات القلب
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
الالتهاب الرئوي,ارتفاع درجة الحرارة صدئ البلغم ارتفاع معدل ضربات القلب ضيق التنفس السعال الخمول الم في الصدر التعرق
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ التجشؤ
نزلات البرد,الشعور بالتعب السعال حمى شديدة صداع فقدان حاسة الشم احتقان الم في الصدر صدئ البلغم سيلان الأنف الم عضلي 
الالتهاب الرئوي, ارتفاع معدل ضربات القلب الم في الصدر الشعور بالتعب السعال ضيق التنفس صدئ البلغم
نزلات البرد, تضخم الغدد الليمفاوية صدئ البلغم تهيج الحلق احتقان الم في الصدر الشعور بالتعب صداع فقدان حاسة الشم
فيرس سي,الم في البطن الشعور بالغثيان القيء الم في العضلات الم في المفاصل
الالتهاب الرئوي,الشعور بالتعب السعال الم في الصدر ضيق التنفس ارتفاع معدل ضربات القلب قشعريره
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم الغثيان
فيرس سي,الم في البطن الشعور بالغثيان القيء الم في العضلات الم في المفاصل الشعور بالتعب
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ
فيرس سي, اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل 
الفشل الكلوي, انخفاض اخراج البول ضيق التنفس ارتفاع معدل ضربات القلب القئ الم الصدر تورم القدمين احتباس السوائل
فيرس سي,الم في البطن الشعور بالغثيان القيء الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
فيرس سي, اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل الشعور بالتعب 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ
الفشل الكلوي,انخفاض اخراج البول ضيق التنفس القئ ارتفاع معدل ضربات القلب الم الصدر تورم القدمين احتباس السوائل الخمول 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان التجشؤ
فيرس سي,الم في البطن الشعور بالغثيان القيء الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ الم الصدر ارتفاع معدل ضربات القلب الخمول تورم القدمين
الالتهاب الرئوي,الشعور بالتعب السعال ارتفاع درجة الحرارة ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر قشعريره
نزلات البرد, احتقان الم في الصدر فقدان حاسة الشم قشعريرة الشعور بالتعب السعال حمى شديدة صداع صدئ البلغم 
فيرس سي, القيء صداع مزمن الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
نزلات البرد,السعال حمى شديدة صداع صدئ البلغم تهيج الحلق احتقان الم في الصدر فقدان حاسة الشم الشعور بالتعب 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ التجشؤ
نزلات البرد,الم عضلي صدئ البلغم الم في الصدر صداع احتقان الشعور بالتعب حمى شديدة فقدان حاسة الشم احمرار العين
الفشل الكلوي,القئ ارتفاع معدل ضربات القلب انخفاض اخراج البول ضيق التنفس الم الصدر الخمول احتباس السوائل
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ
نزلات البرد,احمرار العين ضغط الجيوب الأنفية تضخم الغدد الليمفاوية صدئ البلغم تهيج الحلق الشعور بالتعب صداع الم في الصدر فقدان حاسة الشم احتقان
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ التجشؤ
الفشل الكلوي, انخفاض اخراج البول ضيق التنفس الم في الصدر القئ ارتفاع معدل ضربات القلب تورم القدمين احتباس السوائل الغثيان
نزلات البرد,سيلان الأنف احتقان ضغط الجيوب الأنفية فقدان حاسة الشم الم عضلي صداع الشعور بالتعب احتقان الم في الصدر صدئ البلغم
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ
